id;bid;orientation;geometry
1;NL.IMBAG.Pand.0503100000004247;NE;POLYGONZ((85344.492000 446982.378000 5.368000, 85343.165000 446979.157000 7.639000, 85343.256000 446979.120000 7.639000, 85352.063000 446975.492000 7.653000, 85352.126000 446975.466000 7.653000, 85352.227000 446975.708000 7.483000, 85352.932000 446975.416000 7.485000, 85354.002000 446978.029000 5.644000, 85353.307000 446978.317000 5.642000, 85353.497000 446978.796000 5.306000, 85353.457000 446978.830000 5.296000, 85353.325000 446978.884000 5.295000, 85344.549000 446982.519000 5.269000, 85344.512000 446982.370000 5.368000, 85344.492000 446982.378000 5.368000))
2;NL.IMBAG.Pand.0503100000004247;horizontal;POLYGONZ((85346.297000 446973.358000 2.734000, 85346.178000 446973.070000 2.728000, 85346.165000 446973.039000 2.728000, 85348.044000 446972.078000 2.733000, 85349.653000 446971.256000 2.737000, 85350.042000 446971.996000 2.753000, 85347.373000 446972.967000 2.740000, 85346.371000 446973.331000 2.735000, 85346.297000 446973.358000 2.734000))
3;NL.IMBAG.Pand.0503100000004247;SW;POLYGONZ((85346.371000 446973.331000 4.864000, 85347.373000 446972.967000 4.896000, 85350.042000 446971.996000 4.980000, 85350.115000 446971.970000 4.982000, 85350.306000 446972.428000 5.314000, 85350.841000 446972.207000 5.314000, 85350.857000 446972.252000 5.346000, 85351.280000 446973.421000 6.175000, 85351.407000 446973.730000 6.398000, 85352.126000 446975.466000 7.653000, 85352.063000 446975.492000 7.653000, 85343.256000 446979.120000 7.639000, 85343.165000 446979.157000 7.639000, 85341.907000 446976.102000 5.433000, 85342.064000 446976.035000 5.432000, 85346.464000 446974.170000 5.406000, 85346.714000 446973.839000 5.265000, 85346.526000 446973.911000 5.262000, 85346.297000 446973.358000 4.862000, 85346.371000 446973.331000 4.864000))
4;NL.IMBAG.Pand.0503100000004493;horizontal;POLYGONZ((85567.451000 446853.879000 2.357000, 85567.417000 446853.648000 2.360000, 85566.873000 446849.912000 2.409000, 85566.861000 446849.827000 2.410000, 85567.373000 446849.753000 2.414000, 85569.308000 446849.470000 2.429000, 85569.369000 446849.461000 2.429000, 85569.389000 446849.602000 2.428000, 85569.957000 446853.497000 2.377000, 85569.435000 446853.577000 2.373000, 85569.289000 446853.599000 2.372000, 85567.646000 446853.850000 2.359000, 85567.451000 446853.879000 2.357000))
5;NL.IMBAG.Pand.0503100000004494;WN;POLYGONZ((85551.183000 446834.512000 9.657000, 85550.468000 446834.621000 8.941000, 85550.121000 446834.674000 8.593000, 85550.112000 446834.607000 8.594000, 85550.093000 446834.455000 8.595000, 85549.712000 446831.514000 8.621000, 85547.291000 446831.879000 6.195000, 85547.029000 446831.918000 5.931000, 85546.732000 446829.896000 5.915000, 85546.708000 446829.732000 5.913000, 85550.414000 446829.167000 9.630000, 85550.441000 446829.348000 9.631000, 85550.730000 446831.361000 9.641000, 85550.796000 446831.823000 9.644000, 85551.146000 446834.259000 9.656000, 85551.171000 446834.428000 9.657000, 85551.183000 446834.512000 9.657000))
6;NL.IMBAG.Pand.0503100000004494;ES;POLYGONZ((85550.730000 446831.361000 9.641000, 85550.441000 446829.348000 9.631000, 85550.414000 446829.167000 9.630000, 85557.845000 446828.034000 3.905000, 85558.010000 446828.008000 3.778000, 85558.042000 446828.228000 3.779000, 85558.765000 446833.145000 3.791000, 85558.796000 446833.350000 3.792000, 85558.396000 446833.411000 4.099000, 85551.183000 446834.512000 9.657000, 85551.171000 446834.428000 9.657000, 85551.146000 446834.259000 9.656000, 85550.796000 446831.823000 9.644000, 85550.730000 446831.361000 9.641000))
7;NL.IMBAG.Pand.0503100000004494;WN;POLYGONZ((85549.712000 446831.514000 8.621000, 85550.093000 446834.455000 8.595000, 85550.112000 446834.607000 8.594000, 85550.121000 446834.674000 8.593000, 85547.739000 446835.037000 8.523000, 85547.493000 446835.074000 8.516000, 85547.473000 446834.942000 8.517000, 85547.029000 446831.918000 8.543000, 85547.291000 446831.879000 8.550000, 85549.712000 446831.514000 8.621000))
8;NL.IMBAG.Pand.0503100000004495;WN;POLYGONZ((85553.274000 446856.041000 8.592000, 85553.241000 446855.821000 8.592000, 85552.842000 446853.128000 8.583000, 85550.772000 446853.888000 6.424000, 85550.281000 446854.068000 5.911000, 85550.170000 446853.314000 5.909000, 85550.148000 446853.163000 5.909000, 85549.865000 446851.234000 5.905000, 85549.846000 446851.102000 5.905000, 85549.971000 446851.083000 6.032000, 85553.543000 446850.538000 9.648000, 85553.566000 446850.693000 9.648000, 85553.866000 446852.752000 9.651000, 85553.884000 446852.874000 9.651000, 85554.292000 446855.666000 9.654000, 85554.323000 446855.881000 9.654000, 85553.679000 446855.980000 9.003000, 85553.330000 446856.033000 8.649000, 85553.297000 446856.038000 8.616000, 85553.274000 446856.041000 8.592000))
9;NL.IMBAG.Pand.0503100000004495;ES;POLYGONZ((85553.866000 446852.752000 9.651000, 85553.566000 446850.693000 9.648000, 85553.543000 446850.538000 9.648000, 85561.120000 446849.382000 3.807000, 85561.153000 446849.377000 3.782000, 85561.182000 446849.581000 3.782000, 85561.919000 446854.594000 3.784000, 85561.938000 446854.720000 3.784000, 85561.672000 446854.761000 3.988000, 85554.323000 446855.881000 9.654000, 85554.292000 446855.666000 9.654000, 85553.884000 446852.874000 9.651000, 85553.866000 446852.752000 9.651000))
10;NL.IMBAG.Pand.0503100000004495;horizontal;POLYGONZ((85553.241000 446855.821000 8.592000, 85553.274000 446856.041000 8.592000, 85551.028000 446856.384000 8.517000, 85550.630000 446856.444000 8.504000, 85550.579000 446856.102000 8.502000, 85550.281000 446854.068000 8.496000, 85550.772000 446853.888000 8.512000, 85552.842000 446853.128000 8.583000, 85553.241000 446855.821000 8.592000))
